fichier	url_image	page_source	titre	requete	date
/images/q-equitation-races-05.webp	https://www.horsebreedspictures.com/wp-content/uploads/2017/07/Akhal-Tekes.jpg	https://ar.inspiredpencil.com/pictures-2023/gold-akhal-teke	Gold Akhal Teke	Akhal-Teke golden horse metallic coat	2026-09-24
/images/q-equitation-races-06.webp	https://www.ewandp.org/wp-content/uploads/2024/05/Photo-28-scaled.jpg	https://www.ewandp.org/programs/wildlife-conservation/przewalski-horse/	Przewalski’s horse – Eurasian Wildlife and Peoples	Przewalski horses Mongolia steppe	2026-09-24
/images/q-equitation-vocabulaire-03.webp	https://equineworld.co.uk/images/piebald.jpg	https://equineworld.co.uk/about-horses/horse-colours-and-markings/horse-coat-colours-and-patterns/piebald	Piebald	piebald horse black and white pasture	2026-09-24
/images/q-equitation-vocabulaire-04.webp	https://thekidshouldseethis.com/wp-content/uploads/2023/06/maupin-farrier-restoration-video-02.png	https://thekidshouldseethis.com/post/farrier-hoof-restoration-how-horseshoeing-video	The Art of the Farrier: Horse hoof cleaning, trimming, shaping ...	farrier shoeing horse hoof	2026-09-24
/images/q-equitation-vocabulaire-05.webp	https://i.pinimg.com/originals/cb/57/17/cb5717743c076e7ef614453aaf3abe19.jpg	https://www.pinterest.com/pin/riding-sidesaddle-the-western-way-keystoneequinenet--844213892622929251/	Riding sidesaddle the Western Way! keystoneequine.net | Riding, Side ...	woman riding sidesaddle horse	2026-09-24
/images/cover-boxe-histoire.webp	https://idsb.tmgrup.com.tr/ly/uploads/images/2021/03/08/98629.jpg	https://www.dailysabah.com/sports/ali-vs-frazier-the-fight-of-the-century-50-years-on/news	Ali vs. Frazier: The Fight of the Century 50 years on | Daily Sabah	Muhammad Ali boxing ring fight	2026-09-24
/images/q-boxe-histoire-02.webp	https://d2fmj9q21jcbgm.cloudfront.net/AcuCustom/Sitename/DAM/5884/Joe_Louis_world_heavyweight_champion.jpg	https://animalia-life.club/qa/pictures/joe-louis-boxer	Joe Louis Boxer	Joe Louis boxer heavyweight champion	2026-09-24
/images/q-boxe-histoire-04.webp	https://static1.colliderimages.com/wordpress/wp-content/uploads/2024/03/raging-bull-1.jpg	https://collider.com/robert-de-niro-learn-to-box-raging-bull/	Did Robert De Niro Learn To Box for 'Raging Bull’?	Raging Bull Robert De Niro boxing scene	2026-09-24
/images/q-capitales-monuments-04.webp	https://www.encirclephotos.com/wp-content/uploads/Russia-Moscow-Red-Square-St-Basil-s-Cathedral-1440x1080.jpg	https://www.encirclephotos.com/image/st-basils-cathedral-at-red-square-in-moscow-russia/	St. Basil’s Cathedral at Red Square in Moscow, Russia - Encircle Photos	Saint Basil's Cathedral Red Square Moscow	2026-09-24
/images/cover-boxe-regles.webp	https://box-sport.de/wp-content/uploads/2024/11/boxing-gloves-lying-empty-ring-scaled.jpg	https://box-sport.de/tamano-del-ring-en-el-boxeo-por-que-varia-tanto/?lang=es	Tamaño del ring en el boxeo: por qué varía tanto | BOXSPORT	boxing gloves in boxing ring	2026-09-24
/images/q-boxe-regles-04.webp	https://st.focusedcollection.com/18590116/i/1800/focused_225325348-stock-photo-boxing-gloves-white-towel-corner.jpg	https://focusedcollection.com/225325348/stock-photo-boxing-gloves-white-towel-corner.html	Boxing gloves and white towel in corner of boxing ring — training ...	boxing corner towel thrown into ring	2026-09-24 # rejetée
/images/cover-departements-numeros.webp	https://evasion-online.com/images/2015/11/carte-de-france-depart-920x525.jpg	https://evasion-online.com/cartes-et-plans/carte-de-france-regions-et-departements-francais	Carte de France Régions et Départements français ≡ Voyage - Carte - Plan	carte des départements français avec numéros	2026-09-24
/images/q-departements-numeros-02.webp	https://photo.guidevoyageur.fr/1024/18590_22_marseille-notre-dame-de-la-garde-vue-du-vieux-port.jpg	https://guidevoyageur.fr/poi-18590-basilique-notre-dame-de-la-garde	Basilique Notre-Dame de la Garde - GuideVoyageur.fr	Marseille Vieux-Port Notre-Dame de la Garde	2026-09-24
